Community,General habitat,Description,Consumer,Resource,D,Cmass,Rmass,Log10Cmass,Log10Rmass,Log10CRBR,Source
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Pedicia sp,2,0.00000973,0.00000681,-5.012106416,-5.167058222,-0.154951807,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Potamophylax cinguilatus,2,0.00000973,0.00000408,-5.012106416,-5.388819421,-0.376713006,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Sialis fuliginosa,2,0.00000973,0.00000276,-5.012106416,-5.559672097,-0.547565681,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Helodidae sp,2,0.00000973,0.00000183,-5.012106416,-5.738381512,-0.726275097,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Asellus meridianus,2,0.00000973,0.000000867,-5.012106416,-6.062078592,-1.049972177,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Plectrocnemia conspersa,2,0.00000973,0.00000074,-5.012106416,-6.130998987,-1.118892572,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Oligochaete spp.,2,0.00000973,0.000000608,-5.012106416,-6.216047137,-1.203940721,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Adicella reducta,2,0.00000973,0.000000508,-5.012106416,-6.29439968,-1.282293264,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Dicranota sp,2,0.00000973,0.000000475,-5.012106416,-6.323447216,-1.311340801,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Diptera spp,2,0.00000973,0.000000422,-5.012106416,-6.374600081,-1.362493666,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Siphonoperla torrentium,2,0.00000973,0.000000326,-5.012106416,-6.48696095,-1.474854535,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Leuctra hippopus,2,0.00000973,0.000000215,-5.012106416,-6.667478729,-1.655372314,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Prodiames olivacea,2,0.00000973,0.000000173,-5.012106416,-6.762574402,-1.750467987,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Macropelopia nebulosa,2,0.00000973,0.000000157,-5.012106416,-6.803785114,-1.791678699,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Nemurella pictetii,2,0.00000973,0.000000102,-5.012106416,-6.991915327,-1.979808911,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Tipulidae spp,2,0.00000973,9.49E-08,-5.012106416,-7.022607499,-2.010501084,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Simulium sp,2,0.00000973,4.74E-08,-5.012106416,-7.324125465,-2.312019049,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Leuctra nigra,2,0.00000973,4.17E-08,-5.012106416,-7.38030784,-2.368201424,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Trissopelopia longimana,2,0.00000973,3.55E-08,-5.012106416,-7.44938768,-2.437281265,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Paraleptophlebia submarginata,2,0.00000973,2.43E-08,-5.012106416,-7.613804344,-2.601697928,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Brillia modesta,2,0.00000973,1.31E-08,-5.012106416,-7.884156596,-2.87205018,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Zavrelimyia barbatipes,2,0.00000973,8.63E-09,-5.012106416,-8.06374822,-3.051641805,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Heterotrissocladius marcidus,2,0.00000973,5.71E-09,-5.012106416,-8.243297726,-3.23119131,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Polypedilum albicorne,2,0.00000973,5.09E-09,-5.012106416,-8.293507529,-3.281401114,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Micropsectra bidentata,2,0.00000973,3.80E-09,-5.012106416,-8.420247262,-3.408140847,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Cordulegaster boltonii,Corynoneura lobata,2,0.00000973,3.54E-09,-5.012106416,-8.450677882,-3.438571466,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Dicranota sp,Prodiames olivacea,2,0.000000475,0.000000173,-6.323447216,-6.762574402,-0.439127186,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Dicranota sp,Macropelopia nebulosa,2,0.000000475,0.000000157,-6.323447216,-6.803785114,-0.480337898,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Dicranota sp,Leuctra nigra,2,0.000000475,4.17E-08,-6.323447216,-7.38030784,-1.056860623,{Woodward  2005 #5753;Brose  2005 #2437}
Broadstone stream,Aquatic (stream),Spring-fed acidic headwater stream  Sussex  UK,Dicranota sp,Trissopelopia longimana,2,0.000000475,3.55E-08,-6.323447216,-7.44938768,-1.125940464,{Woodward  2005 #5753;Brose  2005 #2437}
